Year,Country,Plastic_waste_generated,Plastic_waste_treated,Disposal - Total,Disposal - landfill and other,Disposal - incineration,Recovery - Total,Recovery - energy recovery,Recovery - recycling,Recovery - backfilling
2020,Netherlands,642780,606031,19283,17071,2212,586748,121611,465137,0
2020,Austria,399084,193985,1771,1771,,192214,,192214,0
2020,Poland,2238779,1072105,52467,51974,493,1019638,85944,933694,0
2020,Portugal,447175,207772,14243,14243,0,193529,27922,165607,0
2020,Romania,304857,259721,23060,19153,3907,236661,16346,220315,0
2020,Slovenia,67282,48589,2449,2425,24,46140,2288,43852,0
2020,Slovakia,199211,127290,11135,11132,3,116154,1504,114650,0
2020,Finland,132105,109972,887,807,80,109085,67889,41196,0
2020,Sweden,342506,179509,234,234,0,179275,131853,46422,1000
2020,Iceland,10966,10967,244,216,28,10723,1209,9514,0
2020,Norway,254853,250398,37860,15321,22539,212538,70268,142270,0
2020,United Kingdom,2922915,756918,88038,84103,3935,668881,0,668881,0
2020,Montenegro,2931,102,0,0,0,102,0,102,0
2020,North Macedonia,48204,48192,21760,21760,0,26433,0,26433,0
2020,Serbia,65698,76452,279,279,0,76173,8384,67789,0
2020,Türkiye,757243,3026287,,,,3024089,4140,3019949,0
